Classifier,AUC,Mean 10-fold CV,F1-score,Precision,Recall
Random Forest,0.8502,0.84968,0.847634159241629,0.8624058282970445,0.83336
Logistic,0.8852800000000001,0.8940399999999998,0.8856641683941956,0.8827082008900191,0.88864
Linear SVM SGD,0.8697199999999999,0.8705999999999999,0.8717565066740167,0.8583391486392185,0.8856
Logistic SGD,0.85932,0.8571199999999999,0.8620297359852498,0.8457393580170888,0.87896
MLP,0.8240799999999999,0.8733599999999999,0.8193394676306276,0.8420297196892942,0.79784
DecisionTrees,0.7620086591999999,0.18896145001875525 (for min_sample_split=600)

Random Forest(0.65) and Logistic(0.35) Ensemble,0.9000549151999999
Random Forest(0.35) and Logistic(0.65) Ensemble,0.9054046592,0.879872,0.8856288618696432,0.8826380611839492,0.88864

Random Forest(0.35) and Logistic SGD(0.65) Ensemble,0.8844449664,0.853690,0.8619372119588764,0.8489951113525258,0.87528
Random Forest(0.35) and Linear SVM SGD(0.65) Ensemble,0.894147408,0.864676,0.8726646038149,0.8548845061775765,0.8912


Logistic(0.65) and Linear SVM SGD(0.35) Ensemble,0.9007367232000001,0.887208,0.8856288618696432,0.8826380611839492,0.88864
Logistic(0.55) and Linear SVM SGD(0.45) Ensemble,0.9014587103999999,0.884810,0.8856288618696432,0.8826380611839492,0.88864

Random Forest(0.20), Logistic(0.45) and Linear SVM SGD(0.35) Ensemble,0.9110444736000001,0.8781860000000001,0.8790011531273608,0.8738240177089098,0.88424
Random Forest(0.23), Logistic(0.40) and Linear SVM SGD(0.37) Ensemble,0.9113272544,0.8758176,0.878274390973,0.8754471027740244,0.88112
